seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L3,Adjusting Stopper Screw,L2 Purchased Parts,AMPBN8-35,1,NOT_STARTED,,,,
,L3,Threaded Stopper Block,L2 Purchased Parts,SSTBM8-13,1,NOT_STARTED,,,,
14,L2,L2 Remaining Fasteners,L2 Next Gen Assy,,1,NOT_STARTED,,,,
,L3,CBE5-65 Hex Socket M5x65,L2 Remaining Fasteners,CBE5-65,8,NOT_STARTED,,,,
,L3,CBE4-6 Hex Socket M4x6,L2 Remaining Fasteners,CBE4-6,8,NOT_STARTED,,,,
,L3,CBE4-8 Hex Socket M4x8,L2 Remaining Fasteners,CBE4-8,10,NOT_STARTED,,,,
,L3,CBE5-10 Hex Socket M5x10,L2 Remaining Fasteners,CBE5-10,12,NOT_STARTED,,,,
,L3,CBE5-25 Hex Socket M5x25,L2 Remaining Fasteners,CBE5-25,2,NOT_STARTED,,,,
,L3,CBE5-12 Hex Socket M5x12,L2 Remaining Fasteners,CBE5-12,27,NOT_STARTED,,,,
,L3,CBE6-15 Hex Socket M6x15,L2 Remaining Fasteners,CBE6-15,16,NOT_STARTED,,,,
,L3,CBE8-35 Hex Socket M8x35,L2 Remaining Fasteners,CBE8-35,12,NOT_STARTED,,,,
,L3,CBE9-75 Hex Socket M9x75,L2 Remaining Fasteners,CBE9-75,4,NOT_STARTED,,,,
,L3,CBE10-20 Hex Socket M10x20,L2 Remaining Fasteners,CBE10-20,6,NOT_STARTED,,,,
,L3,CBST8-20 Hex Socket+SW M8x20,L2 Remaining Fasteners,CBST8-20,16,NOT_STARTED,,,,
,L3,SFBJ3-6 Flat Head M3x6,L2 Remaining Fasteners,SFBJ3-6,13,NOT_STARTED,,,,
