seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L3,Recessed Handle,CE Compressor Door,AP-268-2-BLACK,2,NOT_STARTED,,,,
,L3,Fan Guard Cover,CE Compressor Door,LFG254B,1,NOT_STARTED,,,,
,L3,Stud Wing,CE Compressor Door,D8-314-3012-190,4,NOT_STARTED,,,,
,L3,Retainer,CE Compressor Door,D8-324-100-040,4,NOT_STARTED,,,,
,L3,M6 Hook,CE Compressor Door,QBH-5,1,NOT_STARTED,,,,
,L3,3mm Foam,CE Compressor Door,KSNR-10034T,4,NOT_STARTED,,,,
,L3,SEMS 4x12 Bolt,CE Compressor Door,BSET4-12,8,NOT_STARTED,,,,
15,L2,CE Tank Door,Compressor,NXMA-0700071-0-0,1,NOT_STARTED,,,,
,L3,CE Tank Door Weld,CE Tank Door,NXMP-0700169-0-0,1,NOT_STARTED,,,,
,L3,CE Fan,CE Tank Door,NXMA-0700018-0-0,1,NOT_STARTED,,,,
,L3,Recessed Handle,CE Tank Door,AP-268-2-BLACK,2,NOT_STARTED,,,,
,L3,Stud Wing,CE Tank Door,D8-314-3012-190,4,NOT_STARTED,,,,
,L3,Retainer,CE Tank Door,D8-324-100-040,4,NOT_STARTED,,,,
,L3,M6 Hook,CE Tank Door,QBH-5,1,NOT_STARTED,,,,
,L3,3mm Foam,CE Tank Door,KSNR-10034T,4,NOT_STARTED,,,,
,L3,SEMS 4x12 Bolt,CE Tank Door,BSET4-12,4,NOT_STARTED,,,,
16,L2,CE Fan Cover Assy,Compressor,NXMA-0700070-0-0,1,NOT_STARTED,,,,
,L3,CE Fan Cover,CE Fan Cover Assy,NXMP-0700146-0-0,1,NOT_STARTED,,,,
,L3,Fan Guard Cover,CE Fan Cover Assy,LFG254B,1,NOT_STARTED,,,,
,L3,Fan,CE Fan Cover Assy,CFM-A751BF-245-588-22,1,NOT_STARTED,,,,
,L3,Fan Guard,CE Fan Cover Assy,G172P,1,NOT_STARTED,,,,
,L3,M4x12 SEMS Screw,CE Fan Cover Assy,CBST4-12,3,NOT_STARTED,,,,
,L3,M5x15 Flat Head Screw,CE Fan Cover Assy,SHFBS5-15,2,NOT_STARTED,,,,
,L3,SEMS 4x12 Bolt,CE Fan Cover Assy,BSET4-12,4,NOT_STARTED,,,,
17,L2,CE BLDC Panel Assy,Compressor,NXMA-0700073-0-0,1,NOT_STARTED,,,,
,L3,CE BLDC Panel,CE BLDC Panel Assy,NXMP-0700157-0-0,1,NOT_STARTED,,,,
,L3,BLDC Controller,CE BLDC Panel Assy,DC48V1500W,2,NOT_STARTED,SCB5-10,2,LT-243,
,L3,Cable Clamp,CE BLDC Panel Assy,LWS-2218Z,2,NOT_STARTED,,,,
